"model","abs_tave_diff_midparent_dec_mar_scaled","nov_size_scaled","abs_tave_diff_dec_mar_scaled","abs_tave_diff_midparent_sep_jul_scaled","abs_tave_diff_sep_jul_scaled","abs_ppt_mm_diff_apr_jul_scaled:Estimate","abs_ppt_mm_diff_apr_jul_scaled:Pr(>|z|)","abs_ppt_mm_diff_apr_jul_scaled:Std. Error","abs_ppt_mm_diff_apr_jul_scaled:z value","abs_tave_diff_apr_jul_scaled:Estimate","abs_tave_diff_apr_jul_scaled:Pr(>|z|)","abs_tave_diff_apr_jul_scaled:Std. Error","abs_tave_diff_apr_jul_scaled:z value","abs_tave_diff_sep_nov_scaled:Estimate","abs_tave_diff_sep_nov_scaled:Pr(>|z|)","abs_tave_diff_sep_nov_scaled:Std. Error","abs_tave_diff_sep_nov_scaled:z value","mar_size_scaled:Estimate","mar_size_scaled:Pr(>|z|)","mar_size_scaled:Std. Error","mar_size_scaled:z value","ppt:Estimate","ppt:Pr(>|z|)","ppt:Std. Error","ppt:z value","temp:Estimate","temp:Pr(>|z|)","temp:Std. Error","temp:z value","typeWI:Estimate","typeWI:Pr(>|z|)","typeWI:Std. Error","typeWI:z value","X.Intercept.:Estimate","X.Intercept.:Pr(>|z|)","X.Intercept.:Std. Error","X.Intercept.:z value"
"fruitcount.gf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0,0.03,16.307,-0.092,0.007,0.034,-2.711,-0.081,0.011,0.032,-2.541,-0.125,0.021,0.055,-2.302,0.962,0.002,0.312,3.083
"fruitcount.gf.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332,0,0.048,6.973
"fruitcount.wi.mod.cond",NA,NA,NA,NA,NA,-0.091,0.119,0.058,-1.559,-0.114,0.108,0.071,-1.608,NA,NA,NA,NA,0.543,0,0.041,13.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711,0.041,0.347,2.048
"fruitcount.wi.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261,0,0.067,3.922
"germ.gf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.088,0.003,0.029,-3.018,0.035,0.653,0.078,0.45,-0.275,0.38,0.313,-0.877
"germ.wi.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.094,0.007,0.035,-2.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.258,0.42,0.319,-0.806
"marsize.gf.mod.cond",-4.017,23.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,NA,NA,NA,6.561
"marsize.gf.mod.cond",-0.274,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,NA,5.046,NA,NA,NA
"marsize.gf.mod.cond",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,NA,NA,NA,0,NA,NA
"marsize.gf.mod.cond",0.068,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,NA,NA,NA,0.769,NA
"marsize.wi.mod.cond",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"marsize.wi.mod.cond",NA,0.042,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA
"marsize.wi.mod.cond",NA,0.748,-0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.155,NA,NA,NA
"marsize.wi.mod.cond",NA,17.866,-5.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77
"marsurv.gf.mod.cond",-2.599,14.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.261,NA,NA,NA,3.058
"marsurv.gf.mod.cond",-0.058,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012,NA,NA,NA,0.664,NA,NA,NA
"marsurv.gf.mod.cond",0.009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794,NA,NA,NA,0.002,NA,NA
"marsurv.gf.mod.cond",0.022,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,NA,NA,NA,0.217,NA
"marsurv.wi.mod.cond",NA,0,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA
"marsurv.wi.mod.cond",NA,0.033,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,NA
"marsurv.wi.mod.cond",NA,0.366,-0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679,NA,NA,NA
"marsurv.wi.mod.cond",NA,10.955,-2.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.067
"novsize.gf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.028,0.058,0.015,-1.896,0.033,0.421,0.041,0.806,3.024,0,0.125,24.144
"novsize.wi.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.028,0.293,0.026,-1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.066,0,0.114,26.789
"seeds.gf.mod.cond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358,0,0.024,15.117,-0.092,0.003,0.031,-3.008,-0.029,0.297,0.028,-1.042,-0.092,0.054,0.048,-1.924,4.91,0,0.19,25.779
"seeds.gf.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791,0,0.027,28.913
"seeds.wi.mod.cond",NA,NA,NA,NA,NA,-0.11,0.011,0.044,-2.532,-0.055,0.249,0.047,-1.153,NA,NA,NA,NA,0.389,0,0.033,11.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.727,0,0.172,27.465
"seeds.wi.mod.zi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788,0,0.038,20.577
"seedsall.gf.mod.cond",NA,NA,NA,-2.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.006,NA,NA,NA,NA,NA,NA,NA,-0.943,NA,NA,NA,43.206
"seedsall.gf.mod.cond",NA,NA,NA,-0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.072,NA,NA,NA,NA,NA,NA,NA,-0.047,NA,NA,NA,4.907,NA,NA,NA
"seedsall.gf.mod.cond",NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,0.346,NA,NA,NA,0,NA,NA
"seedsall.gf.mod.cond",NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,NA,0.049,NA,NA,NA,0.114,NA
"seedsall.gf.mod.zi",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA,0,NA,NA
"seedsall.gf.mod.zi",NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,0.032,NA
"seedsall.gf.mod.zi",NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,2.455,NA,NA,NA
"seedsall.gf.mod.zi",NA,NA,NA,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239,NA,NA,NA,77.421
"seedsall.gf.noppt.mod.cond",NA,NA,NA,-2.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.136,NA,NA,NA,43.665
"seedsall.gf.noppt.mod.cond",NA,NA,NA,-0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.114,NA,NA,NA,4.941,NA,NA,NA
"seedsall.gf.noppt.mod.cond",NA,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA,NA,0.113,NA
"seedsall.gf.noppt.mod.cond",NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,0,NA,NA
"seedsall.gf.noppt.mod.zi",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA,0,NA,NA
"seedsall.gf.noppt.mod.zi",NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,0.032,NA
"seedsall.gf.noppt.mod.zi",NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,2.455,NA,NA,NA
"seedsall.gf.noppt.mod.zi",NA,NA,NA,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239,NA,NA,NA,77.42
"seedsall.gf.notype.mod.cond",NA,NA,NA,-2.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.898
"seedsall.gf.notype.mod.cond",NA,NA,NA,-0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.884,NA,NA,NA
"seedsall.gf.notype.mod.cond",NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"seedsall.gf.notype.mod.cond",NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA
"seedsall.gf.notype.mod.zi",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"seedsall.gf.notype.mod.zi",NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA
"seedsall.gf.notype.mod.zi",NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,NA,NA,NA
"seedsall.gf.notype.mod.zi",NA,NA,NA,10.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.154
"seedsall.wi.mod.cond",NA,NA,NA,NA,-2.297,NA,NA,NA,-1.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.441
"seedsall.wi.mod.cond",NA,NA,NA,NA,-0.114,-0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.802,NA,NA,NA
"seedsall.wi.mod.cond",NA,NA,NA,NA,0.022,NA,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"seedsall.wi.mod.cond",NA,NA,NA,NA,0.05,NA,NA,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA
"seedsall.wi.mod.zi",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"seedsall.wi.mod.zi",NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033,NA
"seedsall.wi.mod.zi",NA,NA,NA,NA,0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.475,NA,NA,NA
"seedsall.wi.mod.zi",NA,NA,NA,NA,10.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.836
